Shipment_ID,Date,Region,Transport_Mode,Priority,Shipment_Volume_kg,Distance_km,Delivery_Time_days,Transport_Cost,Handling_Cost,Total_Cost,Fuel_Cost,On_Time,Weather_Delay_days
S0042,2025-01-21 12:00:00,West,Road,Standard,247.64,320.2,8.29,67.39,267.02,334.41,47.02,1,0
S0043,2025-01-22 00:00:00,East,Road,Standard,618.6,88.3,2.99,46.41,402.38,448.79,34.68,1,0
S0044,2025-01-22 12:00:00,South,Road,Standard,634.34,876.1,23.08,472.41,511.91,984.32,276.32,1,0
S0045,2025-01-23 00:00:00,West,Road,Standard,482.14,161.6,6.75,66.23,275.13,341.36,42.34,1,0
S0046,2025-01-23 12:00:00,West,Road,Standard,636.88,179.8,7.14,97.34,443.9,541.25,54.81,1,2
S0047,2025-01-24 00:00:00,South,Road,Standard,325.38,1208.6,34.39,334.25,299.99,634.24,215.27,0,2
S0048,2025-01-24 12:00:00,South,Road,Standard,222.94,757.8,20.27,143.59,207.08,350.67,104.48,1,0
S0049,2025-01-25 00:00:00,East,Air,Standard,262.16,392.6,0.8,319.06,243.86,562.92,189.94,1,0
S0050,2025-01-25 12:00:00,North,Air,Standard,353.78,549.0,2.55,602.1,397.35,999.45,406.2,1,0
S0051,2025-01-26 00:00:00,North,Road,Standard,494.02,1104.7,26.84,463.88,441.39,905.27,259.04,0,0
S0052,2025-01-26 12:00:00,North,Road,Standard,230.88,136.9,4.54,26.86,216.12,242.99,20.32,1,0
S0053,2025-01-27 00:00:00,West,Road,Standard,290.41,210.1,6.52,51.85,258.6,310.45,38.3,1,0
S0054,2025-01-27 12:00:00,East,Road,Express,240.27,939.7,24.0,191.93,194.69,386.61,128.71,0,1
S0055,2025-01-28 00:00:00,East,Road,Standard,536.18,926.2,25.21,422.11,446.62,868.73,300.68,0,0
S0056,2025-01-28 12:00:00,West,Air,Standard,790.24,1459.8,4.01,3576.11,543.39,4119.5,2052.33,1,0
S0057,2025-01-29 00:00:00,South,Rail,Standard,203.93,586.8,14.91,65.82,143.67,209.49,49.0,1,3
S0058,2025-01-29 12:00:00,East,Rail,Standard,446.02,135.0,2.06,33.12,369.85,402.97,23.66,1,0
S0059,2025-01-30 00:00:00,North,Road,Standard,568.39,824.8,21.64,398.49,452.37,850.86,230.16,1,0
S0060,2025-01-30 12:00:00,North,Air,Standard,311.41,972.0,7.53,938.33,334.62,1272.94,727.73,1,2
S0061,2025-01-31 00:00:00,East,Road,Express,165.25,243.8,6.04,34.25,207.59,241.83,19.01,1,0
S0062,2025-01-31 12:00:00,South,Road,Standard,603.7,847.2,20.3,434.73,435.27,870.0,301.94,1,0
S0063,2025-02-01 00:00:00,East,Road,Standard,159.91,328.7,9.35,44.68,297.33,342.01,26.34,1,0
S0064,2025-02-01 12:00:00,West,Air,Standard,688.74,1273.3,4.17,2718.63,499.1,3217.73,1944.99,1,1
S0065,2025-02-02 00:00:00,East,Road,Standard,237.72,1259.3,31.71,254.47,283.13,537.59,144.08,0,0
S0066,2025-02-02 12:00:00,East,Rail,Standard,147.75,667.3,13.6,54.22,176.98,231.21,30.83,1,0
S0067,2025-02-03 00:00:00,East,Road,Express,271.97,1451.4,35.2,335.54,300.63,636.17,220.53,0,0
S0068,2025-02-03 12:00:00,South,Air,Standard,340.15,1470.5,3.73,1550.56,241.58,1792.14,1207.3,1,0
S0069,2025-02-04 00:00:00,North,Road,Standard,375.34,228.7,5.51,72.97,305.64,378.61,44.77,1,0
S0070,2025-02-04 12:00:00,South,Road,Standard,463.97,576.9,16.41,227.5,320.81,548.31,157.18,1,0
S0071,2025-02-05 00:00:00,North,Air,Standard,391.8,916.5,3.09,1113.12,308.26,1421.38,744.98,1,0
S0072,2025-02-05 12:00:00,South,Road,Express,758.93,163.9,4.72,105.71,593.68,699.39,78.61,1,0
S0073,2025-02-06 00:00:00,West,Road,Standard,332.37,598.7,15.71,169.13,275.25,444.38,104.25,1,0
S0074,2025-02-06 12:00:00,North,Road,Standard,401.86,421.3,9.97,143.91,373.35,517.26,97.52,1,0
S0075,2025-02-07 00:00:00,North,Road,Standard,385.75,1430.0,36.55,468.88,400.44,869.32,360.4,0,0
S0076,2025-02-07 12:00:00,South,Road,Standard,138.58,640.9,15.08,75.5,194.98,270.47,47.3,1,0
S0077,2025-02-08 00:00:00,South,Road,Standard,184.66,1153.5,29.56,181.06,266.28,447.34,117.88,0,0
S0078,2025-02-08 12:00:00,East,Road,Standard,354.48,604.6,17.54,182.17,338.86,521.03,137.43,1,1
S0079,2025-02-09 00:00:00,East,Air,Standard,425.49,232.4,5.6,306.6,359.26,665.86,192.08,1,3
S0080,2025-02-09 12:00:00,West,Road,Express,111.07,1300.2,32.63,122.75,214.85,337.6,78.26,0,0
S0081,2025-02-10 00:00:00,East,Road,Standard,775.87,40.6,0.8,26.78,629.53,656.31,16.6,1,0
S0082,2025-02-10 12:00:00,South,Road,Standard,442.04,121.7,2.94,45.72,334.44,380.16,33.66,1,0
S0083,2025-02-11 00:00:00,West,Road,Standard,344.82,572.0,14.12,167.65,266.48,434.13,128.08,1,0
S0084,2025-02-11 12:00:00,North,Rail,Standard,432.29,1042.9,20.41,247.95,311.95,559.91,172.36,1,0
S0085,2025-02-12 00:00:00,North,Air,Express,264.25,538.9,5.05,441.44,310.09,751.53,306.11,1,2
S0086,2025-02-12 12:00:00,North,Air,Standard,377.31,136.8,0.86,160.03,378.34,538.37,102.37,1,0
S0087,2025-02-13 00:00:00,East,Road,Express,406.55,504.0,14.18,174.18,319.44,493.62,96.3,1,0
S0088,2025-02-13 12:00:00,South,Road,Express,607.12,397.7,12.65,205.22,357.8,563.02,121.08,1,2
S0089,2025-02-14 00:00:00,North,Road,Standard,317.94,47.9,2.83,12.95,264.5,277.45,7.56,1,0
S0090,2025-02-14 12:00:00,South,Road,Standard,162.19,820.8,21.46,113.16,233.86,347.01,65.25,1,0
S0091,2025-02-15 00:00:00,North,Road,Express,219.99,210.3,6.07,39.32,237.99,277.31,27.54,1,0
S0092,2025-02-15 12:00:00,East,Rail,Standard,305.47,459.7,10.32,77.24,296.13,373.37,44.91,1,0
S0093,2025-02-16 00:00:00,South,Road,Standard,171.6,976.1,23.78,142.38,190.83,333.21,81.11,0,1
S0094,2025-02-16 12:00:00,South,Road,Express,207.91,1098.7,27.49,194.16,279.99,474.15,123.88,0,0
S0095,2025-02-17 00:00:00,South,Road,Express,221.02,424.6,11.53,79.78,257.01,336.79,48.45,1,0
S0096,2025-02-17 12:00:00,East,Road,Standard,295.39,520.6,13.96,130.72,308.86,439.58,76.28,1,0
S0097,2025-02-18 00:00:00,South,Road,Standard,439.27,400.5,10.08,149.53,368.76,518.29,87.27,1,2
S0098,2025-02-18 12:00:00,North,Road,Standard,288.54,1437.1,35.27,352.45,302.29,654.74,214.61,0,0
S0099,2025-02-19 00:00:00,North,Rail,Express,453.57,318.2,7.55,79.37,390.1,469.46,53.45,1,0
S0100,2025-02-19 12:00:00,West,Road,Standard,344.97,307.4,7.95,90.15,267.97,358.12,65.3,1,0
S0101,2025-02-20 00:00:00,West,Road,Standard,211.52,689.8,18.97,124.01,253.12,377.14,92.53,1,2
S0102,2025-02-20 12:00:00,East,Road,Standard,409.84,316.4,7.77,110.22,381.03,491.25,79.67,1,0
S0103,2025-02-21 00:00:00,North,Rail,Express,379.65,268.8,4.21,56.13,380.79,436.92,38.98,1,0
S0104,2025-02-21 12:00:00,West,Road,Express,459.31,180.0,5.95,70.27,391.35,461.62,53.32,1,1
S0105,2025-02-22 00:00:00,West,Rail,Standard,504.75,974.7,20.68,270.58,354.18,624.75,181.16,1,0
S0106,2025-02-22 12:00:00,East,Air,Standard,616.31,933.6,2.73,1783.78,422.46,2206.24,1240.92,1,0
S0107,2025-02-23 00:00:00,South,Road,Express,446.34,989.2,25.02,375.31,345.91,721.21,241.95,0,0
S0108,2025-02-23 12:00:00,South,Rail,Express,373.62,1169.0,22.43,240.22,334.02,574.24,150.21,1,0
S0109,2025-02-24 00:00:00,North,Road,Standard,460.32,516.5,13.41,202.09,367.68,569.77,126.57,1,0
S0110,2025-02-24 12:00:00,West,Air,Standard,274.56,1380.9,4.86,1175.32,220.44,1395.76,686.52,1,0
S0111,2025-02-25 00:00:00,South,Road,Standard,264.54,1110.5,27.11,249.7,214.66,464.36,183.08,0,0
S0112,2025-02-25 12:00:00,North,Air,Standard,656.69,1214.9,4.25,2473.15,386.74,2859.9,1391.73,1,0
S0113,2025-02-26 00:00:00,South,Road,Standard,260.7,1092.6,26.51,242.11,123.01,365.12,170.73,0,0
S0114,2025-02-26 12:00:00,East,Road,Standard,223.9,563.3,16.65,107.21,237.22,344.43,80.29,1,2
S0115,2025-02-27 00:00:00,North,Road,Standard,446.23,453.2,11.04,171.91,469.83,641.74,114.22,1,0
S0116,2025-02-27 12:00:00,West,Rail,Express,275.71,656.9,13.14,99.61,352.5,452.11,56.39,1,0
S0117,2025-02-28 00:00:00,West,Road,Standard,502.3,181.7,6.23,77.56,352.25,429.81,50.3,1,0
S0118,2025-02-28 12:00:00,East,Road,Standard,594.59,698.9,18.34,353.21,453.77,806.98,222.15,1,0
S0119,2025-03-01 00:00:00,South,Rail,Standard,239.73,103.0,4.31,13.58,185.94,199.52,10.55,1,0
S0120,2025-03-01 12:00:00,East,Air,Standard,471.99,45.8,2.93,66.96,320.55,387.51,47.47,1,0
S0121,2025-03-02 00:00:00,East,Road,Standard,257.61,1400.0,35.88,306.55,207.8,514.35,219.46,0,0
S0122,2025-03-02 12:00:00,East,Road,Standard,308.68,1046.4,25.27,274.57,279.63,554.19,183.59,0,0
S0123,2025-03-03 00:00:00,North,Road,Standard,400.86,860.3,20.82,293.13,332.26,625.39,209.05,1,0
S0124,2025-03-03 12:00:00,South,Rail,Standard,264.82,538.0,12.99,78.36,277.03,355.39,56.12,1,1
S0125,2025-03-04 00:00:00,North,Road,Express,383.64,873.0,21.42,284.67,360.85,645.52,160.92,1,1
S0126,2025-03-04 12:00:00,South,Air,Standard,321.2,1341.7,3.45,1335.95,281.5,1617.45,803.18,1,0
S0127,2025-03-05 00:00:00,South,Road,Express,507.7,992.5,24.83,428.3,400.86,829.16,236.84,0,0
S0128,2025-03-05 12:00:00,North,Road,Express,508.32,919.6,24.29,397.35,350.36,747.7,265.13,0,0
S0129,2025-03-06 00:00:00,North,Road,Express,265.47,711.9,16.23,160.64,205.51,366.15,120.71,1,0
S0130,2025-03-06 12:00:00,East,Road,Standard,405.21,544.7,16.14,187.62,275.41,463.03,129.49,1,2
S0131,2025-03-07 00:00:00,North,Rail,Standard,544.98,1059.9,22.95,317.69,448.95,766.64,211.28,1,2
S0132,2025-03-07 12:00:00,West,Road,Standard,206.19,1472.2,37.21,258.02,218.2,476.22,196.86,0,0
S0133,2025-03-08 00:00:00,East,Road,Standard,320.23,660.1,20.01,179.69,211.92,391.61,105.95,1,1
S0134,2025-03-08 12:00:00,South,Air,Standard,396.79,612.6,5.45,753.56,335.4,1088.96,427.39,1,0
S0135,2025-03-09 00:00:00,East,Air,Express,201.74,665.0,2.44,415.92,174.76,590.68,316.51,1,1
S0136,2025-03-09 12:00:00,North,Air,Standard,281.07,661.3,3.38,576.2,349.31,925.5,436.55,1,0
S0137,2025-03-10 00:00:00,West,Road,Express,720.77,1486.3,36.61,910.6,490.38,1400.97,643.87,0,0
S0138,2025-03-10 12:00:00,South,Road,Standard,260.31,1071.9,25.33,237.17,293.84,531.01,143.86,0,0
S0139,2025-03-11 00:00:00,West,Air,Standard,274.56,564.4,3.89,480.39,320.01,800.4,371.36,1,2
S0140,2025-03-11 12:00:00,North,Road,Standard,147.77,582.4,15.2,73.15,158.3,231.45,53.11,1,0
S0141,2025-03-12 00:00:00,South,Road,Standard,443.88,669.0,14.48,252.4,367.56,619.95,177.94,1,0
S0142,2025-03-12 12:00:00,South,Rail,Standard,189.51,93.6,3.39,9.76,249.14,258.89,5.87,1,0
S0143,2025-03-13 00:00:00,West,Road,Standard,323.61,810.6,20.25,222.98,303.19,526.16,148.95,1,0
S0144,2025-03-13 12:00:00,East,Road,Standard,224.99,1224.6,33.65,234.2,260.0,494.2,173.12,0,2
S0145,2025-03-14 00:00:00,South,Air,Standard,383.29,1004.4,2.32,1193.46,270.98,1464.44,892.54,1,0
S0146,2025-03-14 12:00:00,North,Road,Standard,69.9,329.7,9.01,19.59,183.38,202.97,13.3,1,0
S0147,2025-03-15 00:00:00,South,Road,Express,358.29,1102.9,26.45,335.89,295.18,631.07,225.13,0,0
S0148,2025-03-15 12:00:00,East,Road,Standard,402.04,1090.4,24.9,372.63,356.85,729.48,264.74,0,0
S0149,2025-03-16 00:00:00,South,Road,Standard,284.63,423.3,10.37,102.41,317.95,420.36,68.77,1,0
S0150,2025-03-16 12:00:00,North,Road,Standard,293.39,949.4,24.48,236.76,311.46,548.23,152.96,0,0
S0151,2025-03-17 00:00:00,West,Rail,Standard,267.64,932.0,18.45,137.19,282.9,420.09,78.15,1,0
S0152,2025-03-17 12:00:00,West,Rail,Standard,321.56,1266.1,25.21,223.91,325.75,549.67,129.64,0,0
S0153,2025-03-18 00:00:00,North,Road,Standard,660.86,238.7,4.5,134.07,514.45,648.52,97.18,1,0
S0154,2025-03-18 12:00:00,East,Road,Express,515.22,324.5,9.05,142.1,470.67,612.76,78.96,1,0
S0155,2025-03-19 00:00:00,North,Air,Standard,321.4,749.5,2.42,746.78,295.24,1042.02,419.71,1,0
S0156,2025-03-19 12:00:00,East,Road,Standard,281.12,104.5,4.72,24.96,281.99,306.95,18.92,1,1
S0157,2025-03-20 00:00:00,South,Road,Standard,492.41,646.8,18.94,270.7,432.77,703.47,192.72,1,1
S0158,2025-03-20 12:00:00,East,Road,Standard,371.55,1190.8,30.62,376.08,302.29,678.37,207.21,0,0
S0159,2025-03-21 00:00:00,East,Rail,Standard,199.23,257.1,7.64,28.17,169.49,197.66,17.52,1,0
S0160,2025-03-21 12:00:00,West,Road,Standard,303.61,711.5,20.89,183.62,309.18,492.8,133.23,1,3
S0161,2025-03-22 00:00:00,North,Rail,Standard,627.44,1485.1,29.27,512.49,455.82,968.31,331.09,0,0
S0162,2025-03-22 12:00:00,West,Road,Standard,435.56,778.6,19.18,288.27,305.22,593.49,189.63,1,0
S0163,2025-03-23 00:00:00,North,Road,Standard,282.62,767.6,17.82,184.39,297.97,482.36,120.87,1,0
S0164,2025-03-23 12:00:00,North,Road,Standard,156.43,855.8,21.94,113.8,270.44,384.24,67.88,1,0
S0165,2025-03-24 00:00:00,East,Road,Standard,382.38,311.6,8.69,101.27,256.97,358.23,72.5,1,0
S0166,2025-03-24 12:00:00,South,Road,Standard,345.87,254.9,8.28,74.93,356.24,431.16,42.98,1,0
S0167,2025-03-25 00:00:00,West,Road,Standard,316.62,1028.9,25.8,276.91,179.97,456.89,184.61,0,0
S0168,2025-03-25 12:00:00,West,Road,Standard,495.01,617.8,18.36,259.96,374.25,634.2,153.14,1,2
S0169,2025-03-26 00:00:00,South,Road,Standard,438.12,463.3,12.92,172.52,443.79,616.31,96.73,1,0
S0170,2025-03-26 12:00:00,West,Road,Express,159.17,85.8,2.26,11.61,192.77,204.38,6.77,1,0
S0171,2025-03-27 00:00:00,South,Road,Standard,346.8,1275.2,31.43,375.92,314.79,690.7,281.92,0,0
S0172,2025-03-27 12:00:00,South,Air,Standard,179.55,87.2,0.8,48.54,253.08,301.62,28.66,1,0
S0173,2025-03-28 00:00:00,North,Road,Express,269.84,1135.0,27.66,260.32,191.17,451.49,159.84,0,0
S0174,2025-03-28 12:00:00,West,Rail,Express,172.82,597.7,12.26,56.81,218.3,275.11,33.05,1,0
S0175,2025-03-29 00:00:00,North,Air,Standard,175.97,914.1,2.26,498.64,219.67,718.32,358.61,1,0
S0176,2025-03-29 12:00:00,North,Road,Standard,404.65,401.6,9.79,138.14,426.36,564.5,90.13,1,0
S0177,2025-03-30 00:00:00,South,Rail,Standard,385.81,266.9,7.48,56.63,276.59,333.22,43.44,1,1
S0178,2025-03-30 12:00:00,West,Air,Express,334.53,818.7,3.77,849.07,286.82,1135.9,596.73,1,0
S0179,2025-03-31 00:00:00,West,Rail,Standard,258.5,1055.6,21.65,150.08,220.4,370.48,100.89,1,1
S0180,2025-03-31 12:00:00,East,Road,Express,166.43,325.4,7.36,46.04,164.99,211.02,32.27,1,0
S0181,2025-04-01 00:00:00,West,Road,Standard,270.45,677.1,16.65,155.65,319.48,475.14,87.06,1,0
S0182,2025-04-01 12:00:00,West,Road,Express,386.63,689.2,18.03,226.49,333.84,560.33,174.09,1,0
S0183,2025-04-02 00:00:00,South,Road,Standard,382.44,355.3,10.61,115.51,305.34,420.85,88.94,1,0
S0184,2025-04-02 12:00:00,South,Air,Standard,621.25,865.0,3.13,1665.82,438.38,2104.2,1022.0,1,0
S0185,2025-04-03 00:00:00,West,Air,Standard,579.18,253.1,2.39,454.37,413.2,867.57,315.56,1,0
S0186,2025-04-03 12:00:00,East,Road,Standard,340.89,784.2,20.49,227.24,286.17,513.41,135.53,1,0
S0187,2025-04-04 00:00:00,South,Rail,Standard,269.08,205.6,4.73,30.43,211.09,241.52,20.57,1,0
S0188,2025-04-04 12:00:00,North,Road,Standard,227.82,748.9,22.69,145.02,233.66,378.68,105.47,1,3
S0189,2025-04-05 00:00:00,East,Air,Standard,153.57,494.9,4.07,235.62,188.3,423.91,180.52,1,0
S0190,2025-04-05 12:00:00,North,Road,Standard,189.41,700.3,19.13,112.74,190.08,302.82,70.81,1,0
S0191,2025-04-06 00:00:00,West,Air,Express,386.9,673.3,4.71,807.51,339.77,1147.28,572.93,1,2
S0192,2025-04-06 12:00:00,North,Rail,Express,452.42,1365.6,25.49,339.8,379.62,719.42,242.88,0,1
S0193,2025-04-07 00:00:00,North,Road,Standard,295.55,755.3,19.95,189.75,257.5,447.25,114.01,1,0
S0194,2025-04-07 12:00:00,West,Road,Standard,923.46,1235.0,30.34,969.41,621.42,1590.83,673.43,0,0
S0195,2025-04-08 00:00:00,North,Rail,Standard,190.34,369.5,9.67,38.68,321.82,360.5,27.1,1,0
S0196,2025-04-08 12:00:00,North,Road,Express,146.02,554.0,14.05,68.77,295.73,364.5,49.91,1,0
S0197,2025-04-09 00:00:00,East,Road,Standard,915.59,149.6,6.47,116.45,576.14,692.59,90.83,1,0
S0198,2025-04-09 12:00:00,West,Air,Standard,162.37,654.3,2.68,329.33,168.15,497.48,184.18,1,0
S0199,2025-04-10 00:00:00,North,Road,Express,293.6,1016.3,24.84,253.63,233.81,487.43,151.3,0,0
S0200,2025-04-10 12:00:00,South,Road,Express,237.22,1263.7,29.76,254.82,298.04,552.86,148.65,0,0
S0201,2025-04-11 00:00:00,West,Road,Standard,400.51,866.2,23.2,294.9,322.35,617.25,172.67,1,2
S0202,2025-04-11 12:00:00,West,Road,Standard,282.99,974.5,24.69,234.41,286.43,520.84,153.42,0,1
S0203,2025-04-12 00:00:00,South,Air,Standard,453.09,298.8,4.24,419.7,459.06,878.76,315.64,1,1
S0204,2025-04-12 12:00:00,North,Road,Express,499.77,94.3,2.02,40.07,394.4,434.47,26.17,1,0
S0205,2025-04-13 00:00:00,North,Road,Standard,152.81,1195.9,29.85,155.32,235.82,391.15,109.31,0,0
S0206,2025-04-13 12:00:00,North,Road,Standard,224.16,283.9,7.69,54.09,266.71,320.79,34.43,1,0
S0207,2025-04-14 00:00:00,North,Air,Standard,471.46,173.1,2.23,253.0,352.83,605.84,157.75,1,0
S0208,2025-04-14 12:00:00,East,Road,Standard,546.99,1408.8,33.17,655.03,468.51,1123.53,485.95,0,0
S0209,2025-04-15 00:00:00,North,Air,Standard,366.88,1446.7,3.89,1645.4,283.54,1928.94,1153.06,1,0
S0210,2025-04-15 12:00:00,South,Rail,Standard,414.54,939.7,19.36,214.26,408.29,622.55,135.13,1,0
S0211,2025-04-16 00:00:00,East,Rail,Express,640.06,592.8,13.29,208.69,445.6,654.29,158.66,1,0
S0212,2025-04-16 12:00:00,East,Air,Express,284.71,1256.5,3.41,1109.01,255.08,1364.09,737.11,1,0
S0213,2025-04-17 00:00:00,North,Rail,Standard,364.97,338.9,9.9,68.03,271.75,339.78,40.36,1,0
S0214,2025-04-17 12:00:00,West,Air,Express,579.48,666.9,3.22,1198.04,397.12,1595.16,792.07,1,0
S0215,2025-04-18 00:00:00,East,Road,Standard,596.69,561.2,13.93,284.66,428.98,713.63,200.74,1,0
S0216,2025-04-18 12:00:00,East,Rail,Standard,322.73,1372.5,28.44,243.63,188.09,431.72,154.57,0,2
S0217,2025-04-19 00:00:00,North,Road,Standard,227.68,1382.9,33.68,267.63,234.73,502.35,199.13,0,0
S0218,2025-04-19 12:00:00,North,Road,Express,321.02,990.3,22.96,270.22,273.7,543.92,181.75,1,0
S0219,2025-04-20 00:00:00,West,Air,Express,335.91,201.7,1.67,210.02,340.3,550.32,138.1,1,1
S0220,2025-04-20 12:00:00,South,Air,Express,223.63,744.0,1.44,515.77,262.03,777.8,385.54,1,0
S0221,2025-04-21 00:00:00,South,Rail,Express,240.1,398.2,8.2,52.58,220.21,272.79,34.52,1,0
S0222,2025-04-21 12:00:00,South,Road,Express,597.09,1332.0,31.92,676.01,427.76,1103.78,436.24,0,0
S0223,2025-04-22 00:00:00,East,Road,Standard,423.61,242.1,6.39,87.16,342.43,429.59,50.02,1,0
S0224,2025-04-22 12:00:00,West,Road,Express,294.29,119.3,4.17,29.84,348.73,378.57,18.9,1,0
S0225,2025-04-23 00:00:00,South,Road,Standard,196.17,1068.5,30.18,178.16,190.89,369.06,114.26,0,2
S0226,2025-04-23 12:00:00,West,Road,Standard,241.51,701.8,19.8,144.06,220.44,364.5,85.22,1,2
S0227,2025-04-24 00:00:00,North,Road,Standard,140.15,1264.0,30.94,150.58,146.29,296.87,103.17,0,0
S0228,2025-04-24 12:00:00,East,Road,Standard,371.43,149.0,3.82,47.03,257.6,304.62,27.42,1,0
S0229,2025-04-25 00:00:00,East,Rail,Standard,235.05,1209.6,24.57,156.37,263.09,419.46,94.05,0,0
S0230,2025-04-25 12:00:00,North,Road,Standard,385.39,94.5,2.76,30.96,341.09,372.05,21.02,1,0
S0231,2025-04-26 00:00:00,North,Air,Standard,469.19,81.0,2.86,117.79,435.78,553.57,72.07,1,0
S0232,2025-04-26 12:00:00,South,Road,Standard,388.05,713.5,18.73,235.35,380.29,615.64,164.07,1,0
S0233,2025-04-27 00:00:00,West,Road,Express,277.02,363.1,11.31,85.49,380.23,465.73,60.6,1,1
S0234,2025-04-27 12:00:00,East,Road,Standard,218.04,906.8,24.65,168.06,236.6,404.66,104.08,0,0
S0235,2025-04-28 00:00:00,West,Road,Standard,182.19,77.7,3.12,12.03,208.48,220.51,6.86,1,0
S0236,2025-04-28 12:00:00,West,Air,Standard,569.82,91.7,2.56,161.93,374.89,536.82,107.29,1,0
